Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Gender,Scholarship holder,Unemployment rate,Inflation rate,GDP,Target,Adult
1,17,5,171,1,Complete Secondary Education,122.0,Incomplete Secondary Education,Complete Secondary Education,Administrative,Plant and Machine Operators,127.3,1,0,1,0,10.8,1.4,1.74,0,0
1,15,1,9254,1,Complete Secondary Education,160.0,Complete Secondary Education,Higher Education - Undergraduate,Professionals,Professionals,142.5,1,0,1,0,13.9,-0.3,0.79,1,0
1,1,5,9070,1,Complete Secondary Education,122.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,124.8,1,0,1,0,10.8,1.4,1.74,0,0
1,17,2,9773,1,Complete Secondary Education,122.0,Other Specific Qualifications,Other Specific Qualifications,Administrative,Professionals,119.6,1,0,0,0,9.4,-0.8,-3.12,1,0
2,39,1,8014,0,Complete Secondary Education,100.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,141.5,0,0,0,0,13.9,-0.3,0.79,1,1
2,39,1,9991,0,Other,133.1,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Agriculture and Fishery,114.8,0,0,1,0,16.2,0.3,-0.92,1,1
1,1,1,9500,1,Complete Secondary Education,142.0,Incomplete Secondary Education,Other Specific Qualifications,Agriculture and Fishery,Elementary Occupations,128.4,1,0,0,1,15.5,2.8,-4.06,1,0
1,18,4,9254,1,Complete Secondary Education,119.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,113.1,1,0,1,0,15.5,2.8,-4.06,0,1
1,1,1,9238,1,Complete Secondary Education,138.0,Complete Secondary Education,Incomplete Secondary Education,Technicians,Agriculture and Fishery,123.0,1,0,0,0,8.9,1.4,3.51,0,0
1,1,1,9670,1,Complete Secondary Education,139.0,Other Specific Qualifications,Incomplete Secondary Education,Administrative,Agriculture and Fishery,130.6,1,0,0,0,13.9,-0.3,0.79,1,0
1,1,1,9500,1,Complete Secondary Education,136.0,Incomplete Secondary Education,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,119.3,1,0,0,1,12.7,3.7,-1.7,1,0
1,1,2,9853,1,Complete Secondary Education,133.0,Incomplete Secondary Education,Other Specific Qualifications,Technicians,Plant and Machine Operators,130.2,1,0,0,0,12.7,3.7,-1.7,0,0
1,53,1,9254,1,Other,110.0,Complete Secondary Education,Complete Secondary Education,Technicians,Agriculture and Fishery,111.8,1,0,0,1,8.9,1.4,3.51,1,1
1,1,1,9085,1,Complete Secondary Education,149.0,Other Specific Qualifications,Other Specific Qualifications,Administrative,Administrative,137.1,1,0,0,1,10.8,1.4,1.74,1,0
1,1,1,9773,1,Complete Secondary Education,127.0,Incomplete Secondary Education,Other Specific Qualifications,Plant and Machine Operators,Professionals,120.7,1,0,0,0,15.5,2.8,-4.06,0,0
1,18,1,9238,1,Complete Secondary Education,137.0,Incomplete Secondary Education,Other Specific Qualifications,Administrative,Craft and Related Trades,137.4,1,0,0,0,10.8,1.4,1.74,1,0
1,17,2,9500,1,Complete Secondary Education,135.0,Incomplete Secondary Education,Complete Secondary Education,Administrative,Technicians,127.3,1,0,0,0,15.5,2.8,-4.06,1,0
1,1,1,9130,1,Complete Secondary Education,137.0,Higher Education - Undergraduate,Incomplete Secondary Education,Professionals,Administrative,136.3,1,0,0,0,10.8,1.4,1.74,1,0
1,1,1,9853,1,Complete Secondary Education,140.0,Incomplete Secondary Education,Incomplete Secondary Education,Agriculture and Fishery,Agriculture and Fishery,124.6,1,0,0,0,16.2,0.3,-0.92,1,0
1,1,3,171,1,Complete Secondary Education,122.0,Complete Secondary Education,Complete Secondary Education,Plant and Machine Operators,Craft and Related Trades,120.3,0,0,0,1,11.1,0.6,2.02,1,1
1,18,4,9556,1,Complete Secondary Education,127.0,Complete Secondary Education,Other Specific Qualifications,Technicians,Agriculture and Fishery,121.8,1,0,0,0,12.7,3.7,-1.7,1,0
1,1,4,9500,1,Complete Secondary Education,142.0,Incomplete Secondary Education,Incomplete Secondary Education,Management,Management,125.5,1,0,0,0,12.7,3.7,-1.7,1,0
1,1,4,9670,1,Complete Secondary Education,125.0,Complete Secondary Education,Other Specific Qualifications,Technicians,Agriculture and Fishery,114.9,1,0,0,1,11.1,0.6,2.02,1,0
1,1,1,9500,1,Complete Secondary Education,126.0,Incomplete Secondary Education,Incomplete Secondary Education,Professionals,Agriculture and Fishery,123.9,0,0,0,0,11.1,0.6,2.02,1,0
1,1,1,9238,1,Complete Secondary Education,151.0,Incomplete Secondary Education,Other Specific Qualifications,Plant and Machine Operators,Plant and Machine Operators,157.0,1,0,0,1,7.6,2.6,0.32,1,0
1,17,2,9238,1,Complete Secondary Education,115.0,Incomplete Secondary Education,Other Specific Qualifications,Agriculture and Fishery,Craft and Related Trades,116.4,1,0,0,0,16.2,0.3,-0.92,1,1
1,1,1,9085,1,Complete Secondary Education,138.0,Incomplete Secondary Education,Incomplete Secondary Education,Professionals,Professionals,131.0,1,0,0,0,9.4,-0.8,-3.12,1,0
1,1,1,9147,1,Complete Secondary Education,135.0,Incomplete Secondary Education,Complete Secondary Education,Plant and Machine Operators,Plant and Machine Operators,122.1,1,0,0,0,16.2,0.3,-0.92,1,0
1,17,2,9500,1,Complete Secondary Education,127.0,Higher Education - Undergraduate,Higher Education - Undergraduate,Management,Elementary Occupations,118.8,1,0,1,0,16.2,0.3,-0.92,1,0
1,44,1,9003,1,Other,150.0,Higher Education - Undergraduate,Higher Education - Undergraduate,Technicians,Management,150.0,0,0,1,0,16.2,0.3,-0.92,1,1
1,51,1,9070,1,Complete Secondary Education,125.0,Other Specific Qualifications,Higher Education - Undergraduate,Other,Other,130.0,1,0,1,0,8.9,1.4,3.51,1,0
1,1,1,9147,1,Complete Secondary Education,143.0,Complete Secondary Education,Complete Secondary Education,Technicians,Service and Sales,138.8,0,0,1,0,8.9,1.4,3.51,1,0
1,18,1,8014,0,Complete Secondary Education,138.0,Incomplete Secondary Education,Complete Secondary Education,Plant and Machine Operators,Administrative,134.5,1,0,0,0,12.4,0.5,1.79,1,0
1,1,1,9991,0,Complete Secondary Education,130.0,Higher Education - Undergraduate,Other Specific Qualifications,Professionals,Plant and Machine Operators,131.4,0,0,1,0,13.9,-0.3,0.79,1,1
1,39,1,33,1,Complete Secondary Education,130.0,Other Specific Qualifications,Other Specific Qualifications,Plant and Machine Operators,Service and Sales,102.5,0,0,1,0,8.9,1.4,3.51,0,1
1,43,1,9147,1,Complete Secondary Education,140.0,Other Specific Qualifications,Other Specific Qualifications,Service and Sales,Service and Sales,122.9,0,0,0,0,16.2,0.3,-0.92,0,1
